"year","GEOID","rate"
"2013","04013","6.6"
"2014","04013","5.8"
"2015","04013","5.2"
"2008","04015","7.7"
"2009","04015","11.4"
"2010","04015","13"
"2011","04015","12.3"
"2012","04015","11"
"2013","04015","10.3"
"2014","04015","8.7"
"2015","04015","8"
"2008","04017","10.1"
"2009","04017","15.3"
"2010","04017","14.7"
"2011","04017","14.8"
"2012","04017","14.1"
"2013","04017","13.5"
"2014","04017","11.1"
"2015","04017","9.7"
"2008","04019","5.8"
"2009","04019","9.1"
"2010","04019","9.3"
"2011","04019","8.5"
"2012","04019","7.4"
"2013","04019","6.8"
"2014","04019","6"
"2015","04019","5.6"
"2008","05021","7.75"
"2009","05021","11.8"
"2010","05021","10.85"
"2011","05021","10.95"
"2012","05021","9.8"
"2013","05021","9"
"2014","05021","7.5"
"2015","05021","6.6"
"2008","05023","8.3"
"2009","05023","11.65"
"2010","05023","11.899999999999999"
"2011","05023","12.35"
"2012","05023","11.95"
"2013","05023","11.95"
"2014","05023","10.65"
"2015","05023","9.35"
"2008","05025","6.050000000000001"
"2009","05025","9.3"
"2010","05025","9.55"
"2011","05025","9.2"
"2012","05025","8"
"2013","05025","7.7"
"2014","05025","6.6"
"2015","05025","5.699999999999999"
"2008","05027","12.7"
"2009","05027","16.35"
"2010","05027","17.55"
"2011","05027","17.1"
"2012","05027","16.45"
"2013","05027","17.2"
"2014","05027","15.049999999999999"
"2015","05027","14.3"
"2008","05001","9.8"
"2009","05001","15.7"
"2010","05001","18.6"
"2011","05001","12.2"
"2012","05001","8.8"
"2013","05001","7.4"
"2014","05001","5.4"
"2015","05001","4.4"
"2008","05003","7.6"
"2009","05003","10.5"
"2010","05003","10.1"
"2011","05003","11.2"
"2012","05003","12.2"
"2013","05003","11"
"2014","05003","9.4"
"2015","05003","8"
"2008","05005","6"
"2009","05005","9.3"
"2010","05005","9.4"
"2011","05005","9.3"
"2012","05005","8.4"
"2013","05005","8.1"
"2014","05005","6.8"
"2015","05005","5.7"
"2008","05007","4.1"
"2009","05007","6.4"
"2010","05007","6.6"
"2011","05007","6.5"
"2012","05007","6"
"2013","05007","5.7"
"2014","05007","4.7"
"2015","05007","3.9"
"2008","05009","5.5"
"2009","05009","7.5"
"2010","05009","7.8"
"2011","05009","8"
"2012","05009","7.6"
"2013","05009","7.1"
"2014","05009","6.1"
"2015","05009","5.1"
"2008","05011","7.2"
"2009","05011","9.8"
"2010","05011","10.8"
"2011","05011","12.5"
"2012","05011","11.1"
"2013","05011","9.9"
"2014","05011","8.5"
"2015","05011","6.2"
"2008","05013","6.2"
"2009","05013","8.4"
"2010","05013","8.8"
"2011","05013","9.6"
"2012","05013","9.1"
"2013","05013","8.3"
"2014","05013","6.7"
"2015","05013","5.8"
"2008","05015","4.5"
"2009","05015","6.1"
"2010","05015","7.3"
"2011","05015","7.2"
"2012","05015","6.3"
"2013","05015","6.1"
"2014","05015","5.2"
"2015","05015","4.8"
"2008","05017","8.3"
"2009","05017","11.1"
"2010","05017","12.3"
"2011","05017","13.2"
"2012","05017","11.4"
"2013","05017","11.8"
"2014","05017","10.6"
"2015","05017","9.4"
"2008","05019","5.9"
"2009","05019","8.1"
"2010","05019","8.6"
"2011","05019","10.4"
"2012","05019","10.1"
"2013","05019","9.1"
"2014","05019","7.1"
"2015","05019","5.7"
"2008","05029","5.5"
"2009","05029","7.5"
